Date,Date2,Home,Gas,Beef,Pork,IncomeMid,IncomeMid,SavingsRate,PctHome,PctGas,PctBeef,PctPork,PctChInL,PctChInM,Years
1976-02-01,02/01/76,33757.78,0.59,149.2,141.3,3685,12691,12.3,0.406456376,0.638888889,0.514720812,0.735872236,0.614104249,0.460582345,
1976-03-01,03/01/76,34054.46,0.59,141.5,138.4,3685,12691,12.2,0.418817007,0.638888889,0.436548223,0.7002457,0.614104249,0.460582345,
1976-04-01,04/01/76,34395.51,0.59,148.6,136.3,3685,12691,11.7,0.433026234,0.638888889,0.508629442,0.674447174,0.614104249,0.460582345,
1976-05-01,05/01/76,34801.22,0.59,148.5,138.3,3685,12691,12.3,0.449929402,0.638888889,0.507614213,0.699017199,0.614104249,0.460582345,
1976-06-01,06/01/76,34908.99,0.59,147.5,140.1,3685,12691,11.4,0.454419442,0.638888889,0.497461929,0.721130221,0.614104249,0.460582345,
1976-07-01,07/01/76,35196.79,0.59,145,141.8,3685,12691,11.7,0.466410105,0.638888889,0.472081218,0.742014742,0.614104249,0.460582345,
1976-08-01,08/01/76,35426.27,0.59,142.4,137.1,3685,12691,11.7,0.475970971,0.638888889,0.445685279,0.684275184,0.614104249,0.460582345,
1976-09-01,09/01/76,35681.11,0.59,141,132.4,3685,12691,11.4,0.486588415,0.638888889,0.431472081,0.626535627,0.614104249,0.460582345,
1976-10-01,10/01/76,35797.75,0.59,140.2,124.6,3685,12691,11.1,0.491448008,0.638888889,0.423350254,0.530712531,0.614104249,0.460582345,
1976-11-01,11/01/76,36005.68,0.59,142.6,117.3,3685,12691,11.4,0.500111032,0.638888889,0.447715736,0.441031941,0.614104249,0.460582345,
1976-12-01,12/01/76,36304.89,0.59,146,117,3685,12691,10.6,0.512577072,0.638888889,0.482233503,0.437346437,0.614104249,0.460582345,
1977-01-01,01/01/77,36606.64,0.62,144.6,119.5,4006,13579,10.6,0.525148935,0.722222222,0.468020305,0.468058968,0.754708717,0.562780527,
1977-02-01,02/01/77,37036.44,0.62,141.6,121,4006,13579,9.3,0.543055769,0.722222222,0.437563452,0.486486486,0.754708717,0.562780527,
1977-03-01,03/01/77,37566.4,0.62,140.3,120.9,4006,13579,10.5,0.565135587,0.722222222,0.424365482,0.485257985,0.754708717,0.562780527,
1977-04-01,04/01/77,38234.56,0.62,141.1,118.8,4006,13579,10.5,0.592973255,0.722222222,0.43248731,0.459459459,0.754708717,0.562780527,
1977-05-01,05/01/77,38707.47,0.62,145.9,120.8,4006,13579,10.3,0.612676188,0.722222222,0.481218274,0.484029484,0.754708717,0.562780527,
1977-06-01,06/01/77,39000.34,0.62,144.8,125.6,4006,13579,10.6,0.624878083,0.722222222,0.470050761,0.542997543,0.754708717,0.562780527,
1977-07-01,07/01/77,39402.25,0.62,145.9,132,4006,13579,10.5,0.641622931,0.722222222,0.481218274,0.621621622,0.754708717,0.562780527,
1977-08-01,08/01/77,39801.62,0.62,146.9,130.2,4006,13579,10.9,0.658261954,0.722222222,0.491370558,0.5995086,0.754708717,0.562780527,
1977-09-01,09/01/77,40322.71,0.62,146.7,130.7,4006,13579,11.1,0.679972219,0.722222222,0.489340102,0.605651106,0.754708717,0.562780527,
1977-10-01,10/01/77,40829.85,0.62,149.4,126.8,4006,13579,11,0.701101283,0.722222222,0.516751269,0.557739558,0.754708717,0.562780527,
1977-11-01,11/01/77,41252.04,0.62,149.9,127.4,4006,13579,11.2,0.71869106,0.722222222,0.521827411,0.565110565,0.754708717,0.562780527,
1977-12-01,12/01/77,41624.79,0.62,153.1,130.5,4006,13579,11.4,0.734221009,0.722222222,0.554314721,0.603194103,0.754708717,0.562780527,
1978-01-01,01/01/78,42044.45,0.63,156.8,133.8,4310,14943,11.9,0.751705378,0.75,0.591878173,0.643734644,0.887866842,0.719760617,
1978-02-01,02/01/78,42516.09,0.63,159,138,4310,14943,11.1,0.771355399,0.75,0.614213198,0.695331695,0.887866842,0.719760617,
1978-03-01,03/01/78,43108.18,0.63,164.2,139.2,4310,14943,11,0.79602375,0.75,0.667005076,0.71007371,0.887866842,0.719760617,
1978-04-01,04/01/78,43673.64,0.63,173,141.6,4310,14943,10.8,0.81958261,0.75,0.756345178,0.73955774,0.887866842,0.719760617,
1978-05-01,05/01/78,44273.33,0.63,182.7,141.4,4310,14943,10.3,0.844567601,0.75,0.854822335,0.737100737,0.887866842,0.719760617,
1978-06-01,06/01/78,44940.22,0.63,191.9,144.2,4310,14943,10,0.872352357,0.75,0.94822335,0.771498771,0.887866842,0.719760617,
1978-07-01,07/01/78,45572.88,0.63,188.3,144.2,4310,14943,10.9,0.898710983,0.75,0.911675127,0.771498771,0.887866842,0.719760617,
1978-08-01,08/01/78,46173.84,0.63,186.1,144.4,4310,14943,10.5,0.923748886,0.75,0.889340102,0.773955774,0.887866842,0.719760617,
1978-09-01,09/01/78,46658.16,0.63,184.2,145.5,4310,14943,10.6,0.943927196,0.75,0.870050761,0.787469287,0.887866842,0.719760617,
